feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,MATTR,False,True,False,False,True,False
,L_MATTR,False,True,False,False,True,False
,LEX_DEN,False,True,False,False,True,False
,UNIQUE_WORDS,False,False,False,False,True,False
,FLESCH,False,True,True,False,True,True
,GUNNING_FOG,True,True,True,True,True,True
,AVG_SENT_LEN,True,True,False,True,True,False
,LONG_SENTS,False,True,False,False,True,False
,SHORT_SENTS,True,True,False,True,True,False
,SENT_LEN_STD,False,True,False,False,True,False
,len_in_characters,False,True,False,False,True,False
,polarity,False,True,True,True,True,True
,subjectivity,False,False,False,False,False,False
,POS_VERB,False,False,False,False,False,False
,POS_NOUN,False,True,False,False,True,False
,POS_ADJ,False,False,False,False,False,False
,POS_ADV,False,True,False,False,True,False
,POS_DET,False,True,False,False,True,True
,POS_INTJ,False,False,False,False,False,False
,POS_CONJ,False,True,False,False,True,False
,POS_PART,False,False,False,False,True,False
,POS_NUM,True,False,False,True,False,False
,POS_PREP,False,True,False,False,False,True
,POS_PRO,False,True,False,False,True,False
,G_PASSIVE,False,True,True,False,True,True
,G_ACTIVE,True,True,False,True,True,False
,G_PRESENT,True,True,False,True,True,False
,G_PAST,False,True,False,False,True,False
,G_FUTURE,True,True,False,True,True,False
,L_CONT_A,False,True,False,False,True,False
,L_FUNC_A,False,True,False,False,True,False
,L_CONT_T,False,True,True,False,True,True
,L_FUNC_T,False,False,False,False,False,False
,L_PROPER_NAME,False,False,False,False,False,False
,L_PERSONAL_NAME,True,True,False,False,True,False
,L_POSSESSIVES,False,False,False,True,False,False
,L_ADJ_POSITIVE,False,False,False,False,False,False
,L_ADJ_COMPARATIVE,False,True,True,False,True,True
,L_ADJ_SUPERLATIVE,True,False,False,False,False,False
,L_ADV_POSITIVE,False,True,False,False,True,False
,L_ADV_COMPARATIVE,False,True,False,False,True,False
,L_ADV_SUPERLATIVE,False,True,False,False,True,False
,ST_REPETITIONS_WORDS,False,True,False,False,True,False
,ST_REPETITIONS_SENT,False,False,False,False,False,False
,L_I_PRON,False,True,False,False,True,False
,L_HE_PRON,True,True,False,True,True,False
,L_SHE_PRON,True,True,False,True,True,False
,L_IT_PRON,False,False,True,False,True,True
,L_YOU_PRON,False,False,False,False,True,False
,L_WE_PRON,False,False,False,False,False,False
,L_THEY_PRON,False,False,False,False,True,False
,L_ME_PRON,False,False,False,False,False,False
,L_YOU_OBJ_PRON,False,False,False,False,False,False
,L_HIM_PRON,True,False,False,True,True,False
,L_HER_OBJECT_PRON,True,True,False,True,True,False
,L_IT_OBJECT_PRON,True,True,False,True,True,False
,L_US_PRON,False,False,False,False,False,False
,L_THEM_PRON,False,False,False,False,False,False
,L_MY_PRON,True,True,False,True,True,False
,L_YOUR_PRON,True,False,False,False,False,False
,L_HIS_PRON,False,False,False,False,True,False
,L_HER_PRON,True,True,False,True,True,False
,L_ITS_PRON,True,False,True,True,False,True
,L_OUR_PRON,False,False,False,False,False,False
,L_THEIR_PRON,False,False,False,False,False,False
,L_YOURS_PRON,False,True,True,False,True,True
,L_THEIRS_PRON,False,True,True,False,True,True
,L_HERS_PRON,True,False,False,True,False,False
,L_OURS_PRON,False,False,False,False,False,False
,L_MYSELF_PRON,False,False,False,False,False,False
,L_YOURSELF_PRON,True,False,True,True,False,False
,L_HIMSELF_PRON,False,True,False,False,True,False
,L_HERSELF_PRON,False,True,False,False,True,False
,L_ITSELF_PRON,False,False,False,False,False,False
,L_OURSELVES_PRON,False,True,False,False,True,False
,L_YOURSELVES_PRON,False,False,False,False,True,False
,L_THEMSELVES_PRON,False,True,False,True,True,False
,L_FIRST_PERSON_SING_PRON,False,True,False,False,True,False
,L_SECOND_PERSON_PRON,False,False,False,False,False,False
,L_THIRD_PERSON_SING_PRON,False,True,False,False,True,False
,L_THIRD_PERSON_PLURAL_PRON,False,False,False,False,False,False
,VF_INFINITIVE,False,True,False,False,True,False
