detection_model,metric,dataset,model,correlation,pvalue,significant
microsoft/deberta-v3-small,MATTR,abstracts,mistral,-0.4016397446965517,0.015181802164813601,True
microsoft/deberta-v3-small,MATTR,news,mistral,-0.5575630392412323,0.0004112508330131897,True
microsoft/deberta-v3-small,MATTR,reviews,mistral,-0.17106815487838975,0.318491085171852,False
microsoft/deberta-v3-small,MATTR,qa,mistral,-0.7087348496023975,1.3171515158464687e-06,True
microsoft/deberta-v3-small,MATTR,abstracts,deepseek,0.32684100151273804,0.051697185296984596,False
microsoft/deberta-v3-small,MATTR,news,deepseek,0.45753160196698867,0.0050214713727729406,True
microsoft/deberta-v3-small,MATTR,reviews,deepseek,0.031527476113951645,0.8551635937668799,False
microsoft/deberta-v3-small,MATTR,qa,deepseek,-0.01592810246672758,0.9265379044578927,False
microsoft/deberta-v3-small,MATTR,abstracts,llama3.3,-0.1897827927755894,0.26759288932790504,False
microsoft/deberta-v3-small,MATTR,news,llama3.3,0.020409257039555262,0.9059519555017073,False
microsoft/deberta-v3-small,MATTR,reviews,llama3.3,0.33673337000835646,0.044625000447178514,True
microsoft/deberta-v3-small,MATTR,qa,llama3.3,0.0076389601422643255,0.9647316017989164,False
microsoft/deberta-v3-small,MATTR,abstracts,qwen72b,0.045658026473997915,0.7914579391250164,False
microsoft/deberta-v3-small,MATTR,news,qwen72b,0.4871560099614163,0.002584458265677362,True
microsoft/deberta-v3-small,MATTR,reviews,qwen72b,0.14306641476588025,0.40518400816316447,False
microsoft/deberta-v3-small,MATTR,qa,qwen72b,-0.20308092557008106,0.23486862598942504,False
microsoft/deberta-v3-small,MATTR,abstracts,qwen32b,0.15693584281475717,0.36068239322622375,False
microsoft/deberta-v3-small,MATTR,news,qwen32b,0.041862334925540735,0.8084579992499002,False
microsoft/deberta-v3-small,MATTR,reviews,qwen32b,0.3998842228075594,0.01567420691389453,True
microsoft/deberta-v3-small,MATTR,qa,qwen32b,-0.575099082328596,0.0002435521565648984,True
microsoft/deberta-v3-small,MATTR,abstracts,qwen14b,0.21156756048341235,0.21546203505660613,False
microsoft/deberta-v3-small,MATTR,news,qwen14b,0.45015825483618244,0.005872149075315836,True
microsoft/deberta-v3-small,MATTR,reviews,qwen14b,0.2775243530596371,0.10126503368788715,False
microsoft/deberta-v3-small,MATTR,qa,qwen14b,-0.46682538253145,0.004102397443861061,True
microsoft/deberta-v3-small,MATTR,abstracts,solar,-0.5477305754149046,0.0005448187768600726,True
microsoft/deberta-v3-small,MATTR,news,solar,-0.32567221112738676,0.05258880329590076,False
microsoft/deberta-v3-small,MATTR,reviews,solar,0.393095575913286,0.017706436755987036,True
microsoft/deberta-v3-small,MATTR,qa,solar,-0.041648841474587944,0.8094168374214147,False
microsoft/deberta-v3-small,L_MATTR,abstracts,mistral,-0.38536461205153894,0.02028469813024733,True
microsoft/deberta-v3-small,L_MATTR,news,mistral,-0.5848206810816882,0.00017981628987047413,True
microsoft/deberta-v3-small,L_MATTR,reviews,mistral,0.22566510717889926,0.18571850959206068,False
microsoft/deberta-v3-small,L_MATTR,qa,mistral,-0.7071412541625305,1.4253208350428004e-06,True
microsoft/deberta-v3-small,L_MATTR,abstracts,deepseek,0.3173045551872489,0.05933613056215762,False
microsoft/deberta-v3-small,L_MATTR,news,deepseek,0.37965154077303953,0.022384756194955776,True
microsoft/deberta-v3-small,L_MATTR,reviews,deepseek,0.2394727907297285,0.1595185659787338,False
microsoft/deberta-v3-small,L_MATTR,qa,deepseek,-0.10073104954122783,0.5588527088709802,False
microsoft/deberta-v3-small,L_MATTR,abstracts,llama3.3,-0.18789882167082902,0.272459626371994,False
microsoft/deberta-v3-small,L_MATTR,news,llama3.3,0.029951075851710952,0.8623346441522124,False
microsoft/deberta-v3-small,L_MATTR,reviews,llama3.3,0.5218596017601443,0.0010973589547029758,True
microsoft/deberta-v3-small,L_MATTR,qa,llama3.3,0.05870840092267356,0.733771854043714,False
microsoft/deberta-v3-small,L_MATTR,abstracts,qwen72b,0.04154126335272253,0.8099000941117164,False
microsoft/deberta-v3-small,L_MATTR,news,qwen72b,0.41482171095044496,0.011883505877966327,True
microsoft/deberta-v3-small,L_MATTR,reviews,qwen72b,-0.08121534389345222,0.6377308243850512,False
microsoft/deberta-v3-small,L_MATTR,qa,qwen72b,-0.22307390312468603,0.1909553428564799,False
microsoft/deberta-v3-small,L_MATTR,abstracts,qwen32b,0.14394116073242028,0.4022881499983539,False
microsoft/deberta-v3-small,L_MATTR,news,qwen32b,-0.045672040866676665,0.7913953418143623,False
microsoft/deberta-v3-small,L_MATTR,reviews,qwen32b,-0.15619973822801722,0.3629678156825177,False
microsoft/deberta-v3-small,L_MATTR,qa,qwen32b,-0.591442375738236,0.0001454325779832918,True
microsoft/deberta-v3-small,L_MATTR,abstracts,qwen14b,0.20746862123876447,0.22469265390911722,False
microsoft/deberta-v3-small,L_MATTR,news,qwen14b,0.44392888782351553,0.006684742258133878,True
microsoft/deberta-v3-small,L_MATTR,reviews,qwen14b,-0.28370947079169945,0.0935747293598,False
microsoft/deberta-v3-small,L_MATTR,qa,qwen14b,-0.5168193592547018,0.0012497759762962037,True
microsoft/deberta-v3-small,L_MATTR,abstracts,solar,-0.5420071168372884,0.0006392054598485906,True
microsoft/deberta-v3-small,L_MATTR,news,solar,-0.3668155844726223,0.02776676320577995,True
microsoft/deberta-v3-small,L_MATTR,reviews,solar,0.41687516815376124,0.011428868872450062,True
microsoft/deberta-v3-small,L_MATTR,qa,solar,-0.11943166673995592,0.4878140332190007,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,mistral,0.20566057693822515,0.2288488000622622,False
microsoft/deberta-v3-small,LEX_DEN,news,mistral,-0.07686355868682893,0.6559110277658132,False
microsoft/deberta-v3-small,LEX_DEN,reviews,mistral,0.5689733703578196,0.00029344002523277286,True
microsoft/deberta-v3-small,LEX_DEN,qa,mistral,0.15231010413506466,0.37518728661147094,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,deepseek,-0.006254171556752702,0.9711220848559703,False
microsoft/deberta-v3-small,LEX_DEN,news,deepseek,-0.2656062276567412,0.11742671674560516,False
microsoft/deberta-v3-small,LEX_DEN,reviews,deepseek,0.20379041816750199,0.23320239829961706,False
microsoft/deberta-v3-small,LEX_DEN,qa,deepseek,-0.027624212473061044,0.8729392243382373,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,llama3.3,-0.1547536694601767,0.36748263643802176,False
microsoft/deberta-v3-small,LEX_DEN,news,llama3.3,-0.04437258847743068,0.7972049480205583,False
microsoft/deberta-v3-small,LEX_DEN,reviews,llama3.3,0.5760158678816696,0.00023677863176619244,True
microsoft/deberta-v3-small,LEX_DEN,qa,llama3.3,0.09478929067788128,0.582384686650776,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,qwen72b,-0.05220794908079442,0.7623479869425142,False
microsoft/deberta-v3-small,LEX_DEN,news,qwen72b,-0.08457725619623688,0.6238264054902615,False
microsoft/deberta-v3-small,LEX_DEN,reviews,qwen72b,-0.22736780299049136,0.18233306167526636,False
microsoft/deberta-v3-small,LEX_DEN,qa,qwen72b,-0.20323635226989564,0.2345029230377657,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,qwen32b,-0.1733782967299624,0.31190083406779984,False
microsoft/deberta-v3-small,LEX_DEN,news,qwen32b,-0.2871204803162483,0.0895295479566801,False
microsoft/deberta-v3-small,LEX_DEN,reviews,qwen32b,-0.503022409370796,0.0017664485499474354,True
microsoft/deberta-v3-small,LEX_DEN,qa,qwen32b,0.14434133702610968,0.4009673234701015,False
microsoft/deberta-v3-small,LEX_DEN,abstracts,qwen14b,-0.02898765069215485,0.8667226471272237,False
microsoft/deberta-v3-small,LEX_DEN,news,qwen14b,0.317224357270579,0.05940396613857666,False
microsoft/deberta-v3-small,LEX_DEN,reviews,qwen14b,-0.42657427768666967,0.009475499621046306,True
microsoft/deberta-v3-small,LEX_DEN,qa,qwen14b,-0.43635620824297794,0.007800882968254662,True
microsoft/deberta-v3-small,LEX_DEN,abstracts,solar,-0.4324680895756899,0.008433404166395628,True
microsoft/deberta-v3-small,LEX_DEN,news,solar,-0.46030990123798793,0.00472973767534851,True
microsoft/deberta-v3-small,LEX_DEN,reviews,solar,0.43356231706644965,0.008251117584410977,True
microsoft/deberta-v3-small,LEX_DEN,qa,solar,-0.12467130077668663,0.46878187176879416,False
microsoft/deberta-v3-small,UNIQUE_WORDS,abstracts,mistral,0.41950045289602544,0.010869170563041191,True
microsoft/deberta-v3-small,UNIQUE_WORDS,news,mistral,-0.2418767538700162,0.15524500475288466,False
microsoft/deberta-v3-small,UNIQUE_WORDS,reviews,mistral,0.28933449051206755,0.08697677632728006,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qa,mistral,0.630589772674973,3.7500039542975214e-05,True
microsoft/deberta-v3-small,UNIQUE_WORDS,abstracts,deepseek,-0.2609967671402281,0.12417047243346808,False
microsoft/deberta-v3-small,UNIQUE_WORDS,news,deepseek,0.5059168913237629,0.0016447244268690787,True
microsoft/deberta-v3-small,UNIQUE_WORDS,reviews,deepseek,0.2751223145482669,0.10437787096584226,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qa,deepseek,0.6947300499458193,2.5905976072842665e-06,True
microsoft/deberta-v3-small,UNIQUE_WORDS,abstracts,llama3.3,0.12840619431998804,0.45545902256433884,False
